CEP;Tipo_Logradouro;Logradouro;Bairro;Cidade;UF
1029901;;Rua Florêncio de Abreu 157;Centro;São Paulo;SP
1227200;Avenida;Angélica;Consolação;São Paulo;SP
1251000;Rua;Cardoso de Almeida;Sumaré;São Paulo;SP
1255010;Rua;Antonina;Sumaré;São Paulo;SP
1308040;Rua;São Miguel;Bela Vista;São Paulo;SP
1311914;;Avenida Paulista 777;Bela Vista;São Paulo;SP
1332906;;Alameda Rio Claro 190;Bela Vista;São Paulo;SP
1416902;;Rua da Consolação 3064;Cerqueira César;São Paulo;SP
1426040;Travessa;das Estrelas Novas;Cerqueira César;São Paulo;SP
1501001;Praça;Doutor João Mendes;Centro;São Paulo;SP
1543000;Rua;Heitor Peixoto;Cambuci;São Paulo;SP
1546120;Rua;São João Del Rei;Jardim da Glória;São Paulo;SP
2072001;Avenida;Conceição;Carandiru;São Paulo;SP
2084150;Rua;Articura;Vila Isolina Mazzei;São Paulo;SP
2119020;Rua;Prefeito Milton Improta;Vila Maria Baixa;São Paulo;SP
2123005;Travessa;Manuel Lainez;Jardim Japão;São Paulo;SP
2131040;Rua;Hiroshima;Vila Maria Alta;São Paulo;SP
2138000;Praça;Lourenço Billis;Vila Sabrina;São Paulo;SP
2140030;Rua;Antionha;Vila Sabrina;São Paulo;SP
2147015;Praça;Cláudio Leonardi;Parque Novo Mundo;São Paulo;SP
2190080;Rua;João de Lara da Cunha;Parque Novo Mundo;São Paulo;SP
2201020;Rua;Alípio de Sousa;Vila Gustavo;São Paulo;SP
2207080;Rua;Carlos Alberto Luiz;Vila Medeiros;São Paulo;SP
2209150;Travessa;Ana Ferrara;Vila Medeiros;São Paulo;SP
2216060;Rua;Armando Paim;Vila Medeiros;São Paulo;SP
2217020;Rua;Joaquim de Souza Pacheco Filho;Vila Medeiros;São Paulo;SP
2221140;Travessa;Carlos Cardin;Jardim Brasil (Zona Norte);São Paulo;SP
2224010;Avenida;Major Roberto dos Santos;Jardim Brasil (Zona Norte);São Paulo;SP
2227310;Praça;Erotides de Campos;Jardim Brasil (Zona Norte);São Paulo;SP
2248001;Rua;Cruz de Malta;Parada Inglesa;São Paulo;SP
2280105;Travessa;Halésia;Jardim Brasil (Zona Norte);São Paulo;SP
2320160;Rua;Tríplice Aliança;Parque Casa de Pedra;São Paulo;SP
2354240;Rua;Salvador Álvares;Parque Ramos Freitas;São Paulo;SP
2357100;Rua;José Corrêa Gomes;Tremembé;São Paulo;SP
2360281;Rua;H;Jardim Fontalis;São Paulo;SP
2371020;Rua;Bias;Vila Albertina;São Paulo;SP
2375170;Rua;Luiz Janucci;Vila Albertina;São Paulo;SP
2408000;Praça;Antônio Zunkeller Leite;Água Fria;São Paulo;SP
2417122;Travessa;Francisco Queirolo;Jardim Paraíso;São Paulo;SP
2420030;Rua;Eduardo Zumkeller;Parque Mandaqui;São Paulo;SP
2435010;Rua;Diogo Grasson Tinoco;Lauzane Paulista;São Paulo;SP
2441070;Rua;Sion;Lauzane Paulista;São Paulo;SP
2467103;Travessa;Padre Rosano Stofella;Imirim;São Paulo;SP
2468075;Travessa;Pedro Romero;Vila Romero;São Paulo;SP
2472050;Rua;Aída Gomes Toledo;Imirim;São Paulo;SP
2514050;Rua;Arpuí;Casa Verde;São Paulo;SP
2516040;Rua;Padre Antônio D'Ângelo;Casa Verde;São Paulo;SP
2545120;Travessa;Isabela Leonarda;Casa Verde Alta;São Paulo;SP
2551110;Travessa;do Limão;Limão;São Paulo;SP
2672010;Rua;Luiz Macário de Castro;Jardim Peri Novo;São Paulo;SP
2757100;Rua;Icatuaçu;Vila Bancária Munhoz;São Paulo;SP
2759040;Rua;André Martins;Vila Acre;São Paulo;SP
2765080;Rua;Dirceu da Conceição Pinto;Vila Hebe;São Paulo;SP
2831040;Praça;Joaquim Vagliengo;Itaberaba;São Paulo;SP
2832210;Rua;Crespo de Carvalho;Parque São Luís;São Paulo;SP
2871040;Rua;Cristóvão Santiago;Jardim Ondina;São Paulo;SP
2873011;Passagem;Salvador;Conjunto Promorar Estrada da Parada;São Paulo;SP
2882140;Rua;Mário de Sá Carneiro;Jardim Centenário;São Paulo;SP
2916010;Travessa;José Rovira;Vila Barreto;São Paulo;SP
2932010;Rua;Enrico Carafa;Vila Pereira Cerca;São Paulo;SP
2966000;Rua;São Urbano;Vila Yara;São Paulo;SP
2968010;Rua;Nova Era;Vila Miriam;São Paulo;SP
2990325;Travessa;Erasmus Lapicida;Jardim Donária;São Paulo;SP
2994060;Rua;João Aires;Jardim Bandeirantes (Zona Norte);São Paulo;SP
2997001;Travessa;Nunes Chagas;Estância Jaraguá;São Paulo;SP
3124070;Rua;Vitoantônio Del Vecchio;Parque da Mooca;São Paulo;SP
3152030;Rua;Santa Cruz das Palmeiras;Quinta da Paineira;São Paulo;SP
3164120;Rua;Almirante Brasil;Mooca;São Paulo;SP
3165901;;Rua da Mooca 4214;Mooca;São Paulo;SP
3169901;;Rua Marcial 134;Mooca;São Paulo;SP
3192010;Rua;Clemente Bonifácio;Vila Oratório;São Paulo;SP
3223000;Rua;Susana;Jardim Independência;São Paulo;SP
3251090;Rua;Juvena;Vila Industrial;São Paulo;SP
3254210;Rua;Três Lagoas;Vila São Nicolau;São Paulo;SP
3265140;Rua;Santo Antônio do Ica;Vila Divina Pastora;São Paulo;SP
3268070;Rua;Itapororoca;Vila Tolstoi;São Paulo;SP
3272040;Rua;Nicolino Guilherme Cândido;Parque Luis Mucciolo;São Paulo;SP
3273120;Rua;Visconde de Goiana;Vila Santa Clara;São Paulo;SP
3324080;Rua;Dona Cândida;Vila Gomes Cardim;São Paulo;SP
3366000;Avenida;Trumain;Vila Formosa;São Paulo;SP
3382040;Rua;Basílio Viana Júnior;Chácara Belenzinho;São Paulo;SP
3385060;Rua;Lázaro Gonçalves Fraga;Parque Santo Antônio;São Paulo;SP
3408029;Rua;Waldemar Gardenghi;Chácara Santo Antônio (Zona Leste);São Paulo;SP
3427010;Rua;Monte Mor;Vila Carrão;São Paulo;SP
3433000;Rua;Taubaté;Vila Fernandes;São Paulo;SP
3441010;Rua;Odete Gomes Barreto;Vila Carrão;São Paulo;SP
3451000;Rua;Mariano Cursino de Moura;Parque Maria Luiza;São Paulo;SP
3505020;Rua;Martim Damy;Vila Aricanduva;São Paulo;SP
3516060;Rua;Adauto de Assis;Vila Matilde;São Paulo;SP
3541005;Praça;Lions Clube de Vila Matilde;Vila Guilhermina;São Paulo;SP
3551060;Rua;Caicó;Cidade Patriarca;São Paulo;SP
3570310;Rua;Helena Ricceli Luchetti;Parque Savoy City;São Paulo;SP
3572170;Rua;Macaóca;Jardim Santa Terezinha (Zona Leste);São Paulo;SP
3574060;Rua;Arrabalde da Ponte;Jardim Santa Maria;São Paulo;SP
3579280;Rua;Francisco de Almada;Jardim Marília;São Paulo;SP
3581190;Rua;Domingos José Pelegi;Jardim Fernandes;São Paulo;SP
3583100;Rua;Ararandéua;Jardim Brasília (Zona Leste);São Paulo;SP
3607040;Rua;Tuapé;Vila São Geraldo;São Paulo;SP
3644003;Travessa;Arthur Botelho;Vila Beatriz;São Paulo;SP
3651040;Rua;Cecília;Vila Esperança;São Paulo;SP
3688130;Praça;Santa Quitéria;Jardim Nordeste;São Paulo;SP
3693040;Avenida;Frederick Hoffmann;Jardim Coimbra;São Paulo;SP
3711007;Avenida;Cangaíba;Cangaíba;São Paulo;SP
3712040;Rua;Luciano Antônio Rodrigues;Cangaíba;São Paulo;SP
3716100;Rua;Domingos Belmonte;Jardim Piratininga;São Paulo;SP
3721036;Viela;Cesário Pereto;Engenheiro Goulart;São Paulo;SP
3807160;Avenida;Porcino dos Santos;Vila Paranaguá;São Paulo;SP
3813390;Rua;Ida;Vila Santa Inês;São Paulo;SP
3906080;Praça;Antônio Alves Vilares da Silva;Jardim Caguassu;São Paulo;SP
3908010;Rua;Nello Selmi Dei;Jardim Novo Carrão;São Paulo;SP
3908020;Rua;Major-Brigadeiro Mário Castello Branco;Jardim Novo Carrão;São Paulo;SP
3934075;Rua;Peçanha;Jardim Imperador (Zona Leste);São Paulo;SP
3938171;Travessa;Aníbal;Jardim Paraguaçu;São Paulo;SP
3940070;Rua;Ibiracatu;Jardim São Gabriel;São Paulo;SP
3977170;Rua;Soldado Teonilo de Souza;Conjunto Habitacional Marechal Mascarenhas de Mora;São Paulo;SP
3983110;Rua;Pacamum;Jardim Planalto;São Paulo;SP
3986050;Rua;Tibúrcio de Freitas;Vila Alzira;São Paulo;SP
3987100;Rua;do Malvarisco;Vila Portuguesa;São Paulo;SP
4012902;;Rua Pelotas 284;Vila Mariana;São Paulo;SP
4020041;Rua;Coronel Lisboa;Vila Mariana;São Paulo;SP
4023020;Travessa;Doutor Ubirajara Martins de Souza;Vila Clementino;São Paulo;SP
4030060;Rua;Crestuma;Ibirapuera;São Paulo;SP
4042010;Rua;Santa Generosa;Vila Clementino;São Paulo;SP
4052040;Rua;Ibaté;Mirandópolis;São Paulo;SP
4064004;Avenida;Ireré;Planalto Paulista;São Paulo;SP
4087907;;Alameda dos Anapurus 984;Indianópolis;São Paulo;SP
4152000;Rua;Elisa Silveira;Vila Santo Estéfano;São Paulo;SP
4164130;Rua;Peter Lely;Vila Moraes;São Paulo;SP
4181120;Rua;Araci;Jardim Maria Estela;São Paulo;SP
4182900;;Rua Góis Raposo 400;Jardim Santa Cruz (Sacomã);São Paulo;SP
4193000;Rua;Frederico Bartholdi;Parque Bristol;São Paulo;SP
4213020;Rua;General Lecor;Ipiranga;São Paulo;SP
4236060;Rua;São Vicente de Paula;Cidade Nova Heliópolis;São Paulo;SP
4236080;Rua;São Paulo;Cidade Nova Heliópolis;São Paulo;SP
4236260;Rua;Cristo Redentor;Cidade Nova Heliópolis;São Paulo;SP
4283050;Rua;Anatole France;Vila Moinho Velho;São Paulo;SP
4289090;Rua;Capão da Serra;Vila Brasílio Machado;São Paulo;SP
4294040;Rua;Nhumirim;Saúde;São Paulo;SP
4318100;Rua;Leucina;Cidade Vargas;São Paulo;SP
4327055;Travessa;Luiz Carlos Kakiuthi;Vila Fachini;São Paulo;SP
4334150;Rua;Hildebrando Siqueira;Vila Fachini;São Paulo;SP
4339020;Rua;Luís Vicente de Simoni;Americanópolis;São Paulo;SP
4339130;Travessa;Francisco Semini;Americanópolis;São Paulo;SP
4378000;Avenida;Santa Catarina;Vila Mascote;São Paulo;SP
4384120;Rua;Tomasina;Jardim Jabaquara;São Paulo;SP
4412070;Rua;Rio Grande do Sul;Americanópolis;São Paulo;SP
4417070;Rua;Salvador Faria de Albernaz;Jardim Miriam;São Paulo;SP
4431091;Travessa;Wilson Marinho dos Santos;Jardim Selma;São Paulo;SP
4433150;Avenida;Vinte e Sete;Jardim Itapura;São Paulo;SP
4437060;Rua;Francisco Ramos;Jardim Consórcio;São Paulo;SP
4455340;Rua;Januário da Rocha Franca;Vila Campo Grande;São Paulo;SP
4455410;Rua;Casa de Emaús;Vila Campo Grande;São Paulo;SP
4459320;Rua;Santa Úrsula;Pedreira;São Paulo;SP
4468000;Rua;Cônego Antônio Pinto;Jardim da Pedreira;São Paulo;SP
4531907;;Rua Pedroso Alvarenga 372;Itaim Bibi;São Paulo;SP
4531929;;Rua Pedroso Alvarenga 401;Itaim Bibi;São Paulo;SP
4533013;Rua;Tabapuã;Itaim Bibi;São Paulo;SP
4538132;Avenida;Brigadeiro Faria Lima;Itaim Bibi;São Paulo;SP
4564050;Rua;Filadélfia;Cidade Monções;São Paulo;SP
4566060;Rua;Califórnia;Cidade Monções;São Paulo;SP
4640010;Praça;Engenheiro Dácio Morais Júnior;Jardim Petrópolis;São Paulo;SP
4650180;Rua;Maria José Rangel;Vila São Paulo;São Paulo;SP
4671330;Rua;Antônio Masi;Parque Residencial Julia;São Paulo;SP
4696000;Avenida;Engenheiro Eusébio Stevaux;Jurubatuba;São Paulo;SP
4696020;Praça;Camafeu;Jurubatuba;São Paulo;SP
4705090;Rua;Henrique Fischer;Vila Gertrudes;São Paulo;SP
4710000;Rua;Cancioneiro Popular;Santo Amaro;São Paulo;SP
4730080;Rua;Acari;Várzea de Baixo;São Paulo;SP
4736010;Rua;Irmã Haydêe Ribeiro;Santo Amaro;São Paulo;SP
4770200;Viela;Purini;Jardim Guarapiranga;São Paulo;SP
4795913;;Avenida das Nações Unidas 21612;Vila Almeida;São Paulo;SP
4822270;Rua;Eduardo Ramos;Parque América;São Paulo;SP
4832160;Rua;Pai Gomes Charinho;Parque Santa Cecília;São Paulo;SP
4840350;Rua;Diogo das Neves Pires;Conjunto Habitacional Brigadeiro Faria Lima;São Paulo;SP
4844390;Rua;Ana Reimberg Hemmel;Jardim São Bernardo;São Paulo;SP
